ID,Sura_No,Verse_No,Word_No,Segment_No,Word,Without_Diacritics,Segmented_Word,Morph_Tag,Morph_Type,Punctuation_Mark,Invariable_Declinable,Syntactic_Role,Possessive_Construct,Case_Mood,Case_Mood_Marker,Phrase,Phrasal_Function,Gloss
17,1,5,4,1,نَسْتَعِينُ,نستعين,ن,IMPERF_PREF,Prefix,,,,,,,,,we-ask-for-help
17,1,5,4,2,نَسْتَعِينُ,نستعين,ستعين,IV,Stem,.,DECLN,IV,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,we-ask-for-help
18,1,6,1,1,اهْدِنَا,اهدنا,اهد,CV,Stem,,INVAR,CV,NOT_CONSTRUCT,INVARIABLE,DEL_VOWEL,,,guide-us
18,1,6,1,2,اهْدِنَا,اهدنا,نا,OBJ_PRON,Suffix,,JONT_PRON,OBJ,NOT_CONSTRUCT,ACCUSATIVE,SUKUN,,,guide-us
19,1,6,2,1,الصِّرَاطَ,الصراط,ال,DET,Prefix,,DEF_ART,,,,,,,(to)-the-path
19,1,6,2,2,الصِّرَاطَ,الصراط,صراط,NOUN_ABSTRACT,Stem,,DECLN,OBJ,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,(to)-the-path
20,1,6,3,1,الْمُسْتَقِيمَ,المستقيم,ال,DET,Prefix,,DEF_ART,,,,,,,the-straight
20,1,6,3,2,الْمُسْتَقِيمَ,المستقيم,مستقيم,NOUN_ACTIVE_PART,Stem,,DECLN,ADJ,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,the-straight
20,1,6,3,3,الْمُسْتَقِيمَ,المستقيم,(null),CASE_DEF_ACC,Suffix,,,,,,,,,the-straight
21,1,7,1,1,صِرَاطَ,صراط,صراط,NOUN_ABSTRACT,Stem,,DECLN,APPOS,CONSTRUCT,ACCUSATIVE,FATHA,,,(the)-path
22,1,7,2,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,REL_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,FATHA,,,(of)-those
23,1,7,3,1,أَنْعَمْتَ,أنعمت,أنعم,PV,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,SUKUN,NON_GOV_REL_CLS,,you-have-bestowed-(your)-favors
23,1,7,3,2,أَنْعَمْتَ,أنعمت,ت,SUBJ_PRON,Suffix,,JONT_PRON,AGNT,NOT_CONSTRUCT,NOMINATIVE,FATHA,,,you-have-bestowed-(your)-favors
24,1,7,4,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,on-them
24,1,7,4,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,JONT_PRON,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,SUKUN,,,on-them
25,1,7,5,1,غَيْرِ,غير,غير,NOUN_ABSTRACT,Stem,,DECLN,ADJ,CONSTRUCT,GENITIVE,KASRA,,,not-(of)
25,1,7,5,2,غَيْرِ,غير,(null),CASE_DEF_GEN,Suffix,,,,,,,,,not-(of)
26,1,7,6,1,الْمَغْضُوبِ,المغضوب,ال,DET,Prefix,,DEF_ART,,,,,,,those-who-earned-(your)-wrath
26,1,7,6,2,الْمَغْضُوبِ,المغضوب,مغضوب,NOUN_PASSIVE_PART,Stem,,DECLN,GEN_CONS,NOT_CONSTRUCT,GENITIVE,KASRA,,,those-who-earned-(your)-wrath
27,1,7,7,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,on-themselves
27,1,7,7,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,JONT_PRON,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,SUKUN,,,on-themselves
28,1,7,8,1,وَلَا,ولا,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-not
28,1,7,8,2,وَلَا,ولا,لا,NEG_PART,Stem,,INVAR,NON_INFLECT,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,and-not
29,1,7,9,1,الضَّالِّينَ,الضالين,ال,DET,Prefix,,DEF_ART,,,,,,,(of)-those-who-go-astray
29,1,7,9,2,الضَّالِّينَ,الضالين,ضال,NOUN_ACTIVE_PART,Stem,,DECLN,CONJ_N,NOT_CONSTRUCT,GENITIVE,YAA,,,(of)-those-who-go-astray
29,1,7,9,3,الضَّالِّينَ,الضالين,ين,NSUFF_MASC_PL_GEN,Suffix,.,,,,,,,,(of)-those-who-go-astray
30,2,1,1,1,الم,الم,الم,OTHER,Stem,,INVAR,ACRON,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,alif-laam-meem
31,2,2,1,1,ذَلِكَ,ذلك,ذلك,DEM_PRON,Stem,,DEM_NOUN,SUBJ,NOT_CONSTRUCT,NOMINATIVE,FATHA,,,that
32,2,2,2,1,الْكِتَابُ,الكتاب,ال,DET,Prefix,,DEF_ART,,,,,,,(is)-the-book
32,2,2,2,2,الْكِتَابُ,الكتاب,كتاب,NOUN_CONCRETE,Stem,,DECLN,PRED,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,(is)-the-book
33,2,2,3,1,لَا,لا,لا,NEG_PART,Stem,,INVAR,NEG_CAT,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,no
34,2,2,4,1,رَيْبَ,ريب,ريب,GERUND,Stem,,INVAR,SUBJ_NEG_CAT,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,doubt
34,2,2,4,2,رَيْبَ,ريب,(null),CASE_DEF_ACC,Suffix,,,,,,,,,doubt
35,2,2,5,1,فِيهِ,فيه,في,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,in-it
35,2,2,5,2,فِيهِ,فيه,ه,PRON_3MS,Suffix,,JONT_PRON,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,in-it
36,2,2,6,1,هُدَىً,هدى,هدي,GERUND,Stem,,DECLN,PRED,NOT_CONSTRUCT,NOMINATIVE,IMP_DHAMMA,,,a-guidance
37,2,2,7,1,لِلْمُتَّقِينَ,للمتقين,ل,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,,,for-the-god-conscious
37,2,2,7,2,لِلْمُتَّقِينَ,للمتقين,ال,DET,Prefix,,DEF_ART,,,,,,,for-the-god-conscious
37,2,2,7,3,لِلْمُتَّقِينَ,للمتقين,متق,NOUN_ACTIVE_PART,Stem,,DECLN,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,YAA,,,for-the-god-conscious
37,2,2,7,4,لِلْمُتَّقِينَ,للمتقين,ين,NSUFF_MASC_PL_GEN,Suffix,,,,,,,,,for-the-god-conscious
38,2,3,1,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,REL_PRON,ADJ,NOT_CONSTRUCT,GENITIVE,FATHA,,,those-who
39,2,3,2,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,DECLN,,NOT_CONSTRUCT,NOMINATIVE,NUN,,,believe
39,2,3,2,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,JONT_PRON,IV,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,believe
39,2,3,2,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,INVAR,AGNT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,believe
40,2,3,3,1,بِالْغَيْبِ,بالغيب,ب,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,,,in-the-unseen
40,2,3,3,2,بِالْغَيْبِ,بالغيب,ال,DET,Prefix,,DEF_ART,,,,,,,in-the-unseen
40,2,3,3,3,بِالْغَيْبِ,بالغيب,غيب,GERUND,Stem,,DECLN,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,in-the-unseen
41,2,3,4,1,وَيُقِيمُونَ,ويقيمون,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-establish
41,2,3,4,2,وَيُقِيمُونَ,ويقيمون,ي,IMPERF_PREF,Prefix,,,,,,,,,and-establish
41,2,3,4,3,وَيُقِيمُونَ,ويقيمون,قيم,IV,Stem,,DECLN,IV,NOT_CONSTRUCT,NOMINATIVE,NUN,,,and-establish
41,2,3,4,4,وَيُقِيمُونَ,ويقيمون,ون,SUBJ_PRON,Suffix,,,AGNT,,,,,,and-establish
42,2,3,5,1,الصَّلَاةَ,الصلاة,ال,DET,Prefix,,DEF_ART,,,,,,,the-prayer
42,2,3,5,2,الصَّلَاةَ,الصلاة,صلا,GERUND,Stem,,DECLN,OBJ,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,the-prayer
42,2,3,5,3,الصَّلَاةَ,الصلاة,ة,NSUFF_FEM_SG,Suffix,,,,,,,,,the-prayer
43,2,3,6,1,وَمِمَّا,ومما,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-out-of-what
43,2,3,6,2,وَمِمَّا,ومما,من,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,and-out-of-what
43,2,3,6,3,وَمِمَّا,ومما,ما,REL_PRON,Suffix,,REL_PRON,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,SUKUN,,,and-out-of-what
44,2,3,7,1,رَزَقْنَاهُمْ,رزقناهم,رزق,PV,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,we-have-provided-them
44,2,3,7,2,رَزَقْنَاهُمْ,رزقناهم,نا,SUBJ_PRON,Suffix,,JONT_PRON,AGNT,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,we-have-provided-them
44,2,3,7,3,رَزَقْنَاهُمْ,رزقناهم,هم,OBJ_PRON,Suffix,,JONT_PRON,OBJ,NOT_CONSTRUCT,ACCUSATIVE,SUKUN,,,we-have-provided-them
45,2,3,8,1,يُنْفِقُونَ,ينفقون,ي,IV3MP,Prefix,,DECLN,,NOT_CONSTRUCT,NOMINATIVE,NUN,,,they-spend
45,2,3,8,2,يُنْفِقُونَ,ينفقون,نفق,IV,Stem,,JONT_PRON,IV,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,they-spend
45,2,3,8,3,يُنْفِقُونَ,ينفقون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,INVAR,AGNT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,they-spend
46,2,4,1,1,وَالَّذِينَ,والذين,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-those-who
46,2,4,1,2,وَالَّذِينَ,والذين,الذين,REL_PRON,Stem,,REL_PRON,CONJ_N,NOT_CONSTRUCT,GENITIVE,FATHA,,,and-those-who
47,2,4,2,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,,,,,,,,believe
47,2,4,2,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,DECLN,IV,NOT_CONSTRUCT,NOMINATIVE,NUN,,,believe
47,2,4,2,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,JONT_PRON,AGNT,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,believe
48,2,4,3,1,بِمَا,بما,ب,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,,,in-what
48,2,4,3,2,بِمَا,بما,ما,REL_PRON,Stem,,REL_PRON,PREP_OBJ,NOT_CONSTRUCT,,,,,in-what
49,2,4,4,1,أُنْزِلَ,أنزل,أنزل,PV_PASS,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,FATHA,,,(is)-sent-down
50,2,4,5,1,إِلَيْكَ,إليك,إلي,,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,FATHA,,,to-you
50,2,4,5,2,إِلَيْكَ,إليك,ك,POSS_PRON,Suffix,,JONT_PRON,PREP_OBJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,to-you
51,2,4,6,1,وَمَا,وما,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-what
51,2,4,6,2,وَمَا,وما,ما,REL_PRON,Stem,,REL_PRON,CONJ_N,NOT_CONSTRUCT,GENITIVE,SUKUN,,,and-what
52,2,4,7,1,أُنْزِلَ,أنزل,أنزل,PV_PASS,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,FATHA,,,was-sent-down
53,2,4,8,1,مِنْ,من,من,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,from
54,2,4,9,1,قَبْلِكَ,قبلك,قبل,NOUN_ABSTRACT,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,before-you
54,2,4,9,2,قَبْلِكَ,قبلك,ك,POSS_PRON,Suffix,,JONT_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,FATHA,,,before-you
55,2,4,10,1,وَبِالْآخِرَةِ,وبالآخرة,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,JUSSIVE,FATHA,,,and-in-the-hereafter
55,2,4,10,2,وَبِالْآخِرَةِ,وبالآخرة,ب,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,,,and-in-the-hereafter
55,2,4,10,3,وَبِالْآخِرَةِ,وبالآخرة,ال,DET,Prefix,,DEF_ART,,,,,,,and-in-the-hereafter
55,2,4,10,4,وَبِالْآخِرَةِ,وبالآخرة,آخر,NOUN_ABSTRACT,Stem,,DECLN,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,and-in-the-hereafter
55,2,4,10,5,وَبِالْآخِرَةِ,وبالآخرة,ة,NSUFF_FEM_SG,Suffix,,,,,,,,,and-in-the-hereafter
55,2,4,10,6,وَبِالْآخِرَةِ,وبالآخرة,(null),CASE_DEF_GEN,Suffix,,,,,,,,,and-in-the-hereafter
56,2,4,11,1,هُمْ,هم,هم,PRON,Stem,,DISJ_INV_PRON,SUBJ,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,they
57,2,4,12,1,يُوقِنُونَ,يوقنون,ي,IMPERF_PREF,Prefix,,DECLN,,NOT_CONSTRUCT,NOMINATIVE,NUN,,,firmly-believe
57,2,4,12,2,يُوقِنُونَ,يوقنون,وقن,IV,Stem,,JONT_PRON,IV,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,firmly-believe
57,2,4,12,3,يُوقِنُونَ,يوقنون,ون,SUBJ_PRON,Suffix,,INVAR,AGNT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,firmly-believe
58,2,5,1,1,أُولَئِكَ,أولئك,أولئك,DEM_PRON_MP,Stem,,DEM_NOUN,SUBJ,NOT_CONSTRUCT,NOMINATIVE,FATHA,,,those
59,2,5,2,1,عَلَى,على,على,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,(are)-on
60,2,5,3,1,هُدَىً,هدى,هدي,GERUND,Stem,,DECLN,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,IMP_KASRA,,,guidance
61,2,5,4,1,مِنْ,من,من,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,from
62,2,5,5,1,رَبِّهِمْ,ربهم,رب,NOUN_CONCRETE,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,their-lord
62,2,5,5,2,رَبِّهِمْ,ربهم,هم,POSS_PRON,Suffix,,JONT_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,SUKUN,,,their-lord
63,2,5,6,1,وَأُولَئِكَ,وأولئك,W,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-those
63,2,5,6,2,وَأُولَئِكَ,وأولئك,أولئك,REL_PRON,Stem,,DEM_NOUN,SUBJ,NOT_CONSTRUCT,NOMINATIVE,KASRA,,,and-those
64,2,5,7,1,هُمُ,هم,هم,PRON,Stem,,DISJ_INV_PRON,SUBJ,NOT_CONSTRUCT,NOMINATIVE,SUKUN,NOM_SNT,PRED,they
65,2,5,8,1,الْمُفْلِحُونَ,المفلحون,ال,DET,Prefix,,DEF_ART,,,,,,,(are)-the-successful-ones
65,2,5,8,2,الْمُفْلِحُونَ,المفلحون,مفلح,NOUN_ACTIVE_PART,Stem,,DECLN,PRED,NOT_CONSTRUCT,NOMINATIVE,WAW,,,(are)-the-successful-ones
65,2,5,8,3,الْمُفْلِحُونَ,المفلحون,ون,NSUFF_MASC_PL_NOM,Suffix,.,,,,,,,,(are)-the-successful-ones
66,2,6,1,1,إِنَّ,إن,أن,ANNUL_PART,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,FATHA,,,indeed
67,2,6,2,1,الَّذِينَ,الذين,الذين,REL_PRON,Stem,,REL_PRON,SUBJ_COP_PART,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,those-who
68,2,6,3,1,كَفَرُوا,كفروا,كفر,PV,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,DHAMMA,,,disbelieve[d]
68,2,6,3,2,كَفَرُوا,كفروا,وا,SUBJ_PRON,Suffix,,JONT_PRON,AGNT,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,disbelieve[d]
69,2,6,4,1,سَوَاءٌ,سواء,سواء,NOUN_ABSTRACT,Stem,,DECLN,PART_COP_PRED,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,(it)-is-same
70,2,6,5,1,عَلَيْهِمْ,عليهم,علي,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,to-them
70,2,6,5,2,عَلَيْهِمْ,عليهم,هم,PRON_3MP,Suffix,,JONT_PRON,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,SUKUN,,,to-them
71,2,6,6,1,أَأَنْذَرْتَهُمْ,أأنذرتهم,أ,INTERROG,Prefix,,INVAR,NON_INFLECT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,whether-you-warn-them
71,2,6,6,2,أَأَنْذَرْتَهُمْ,أأنذرتهم,أنذر,PV,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,whether-you-warn-them
71,2,6,6,3,أَأَنْذَرْتَهُمْ,أأنذرتهم,ت,SUBJ_PRON,Suffix,,JONT_PRON,AGNT,NOT_CONSTRUCT,NOMINATIVE,FATHA,,,whether-you-warn-them
71,2,6,6,4,أَأَنْذَرْتَهُمْ,أأنذرتهم,هم,OBJ_PRON,Suffix,,INVAR,OBJ,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,whether-you-warn-them
72,2,6,7,1,أَمْ,أم,أم,CONJ,Stem,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,or
73,2,6,8,1,لَمْ,لم,لم,JUSSIVE_PART,Stem,,INVAR,PART_JUSSIVE,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,not
74,2,6,9,1,تُنْذِرْهُمْ,تنذرهم,ت,IMPERF_PREF,Prefix,,,,,,,,,you-warn-them
74,2,6,9,2,تُنْذِرْهُمْ,تنذرهم,نذر,IV,Stem,,DECLN,IV,NOT_CONSTRUCT,JUSSIVE,SUKUN,,,you-warn-them
74,2,6,9,3,تُنْذِرْهُمْ,تنذرهم,هم,OBJ_PRON,Suffix,,JONT_PRON,OBJ,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,you-warn-them
75,2,6,10,1,لَا,لا,لا,NEG_PART,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,not
76,2,6,11,1,يُؤْمِنُونَ,يؤمنون,ي,IV3MP,Prefix,,DECLN,,NOT_CONSTRUCT,NOMINATIVE,NUN,,,they-believe
76,2,6,11,2,يُؤْمِنُونَ,يؤمنون,ؤمن,IV,Stem,,JONT_PRON,IV,NOT_CONSTRUCT,NOMINATIVE,SUKUN,,,they-believe
76,2,6,11,3,يُؤْمِنُونَ,يؤمنون,ون,IVSUFF_SUBJ:MP_MOOD:I,Suffix,,INVAR,AGNT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,they-believe
77,2,7,1,1,خَتَمَ,ختم,ختم,PV,Stem,,INVAR,,NOT_CONSTRUCT,INVARIABLE,FATHA,,,has-set-a-seal
78,2,7,2,1,اللَّهُ,الله,ال,DET,Prefix,,,,,,,,,allah
78,2,7,2,2,اللَّهُ,الله,له,NOUN_PROP,Stem,,DECLN,AGNT,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,allah
79,2,7,3,1,عَلَى,على,على,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,on
80,2,7,4,1,قُلُوبِهِمْ,قلوبهم,قلوب,NOUN_CONCRETE,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,their-hearts
80,2,7,4,2,قُلُوبِهِمْ,قلوبهم,(null),CASE_DEF_GEN,Suffix,,,,,,,,,their-hearts
80,2,7,4,3,قُلُوبِهِمْ,قلوبهم,هم,POSS_PRON_3MP,Suffix,,JONT_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,SUKUN,,,their-hearts
81,2,7,5,1,وَعَلَى,وعلى,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-on
81,2,7,5,2,وَعَلَى,وعلى,على,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,and-on
82,2,7,6,1,سَمْعِهِمْ,سمعهم,سمع,GERUND,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,their-hearing
82,2,7,6,2,سَمْعِهِمْ,سمعهم,هم,POSS_PRON,Suffix,,JONT_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,SUKUN,,,their-hearing
83,2,7,7,1,وَعَلَى,وعلى,و,CONJ,Prefix,,INVAR,NON_INFLECT,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-on
83,2,7,7,2,وَعَلَى,وعلى,على,PREP,Stem,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,SUKUN,,,and-on
84,2,7,8,1,أَبْصَارِهِمْ,أبصارهم,أبصار,NOUN_ABSTRACT,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,their-vision
84,2,7,8,2,أَبْصَارِهِمْ,أبصارهم,هم,POSS_PRON,Suffix,,JONT_PRON,GEN_CONS,NOT_CONSTRUCT,GENITIVE,SUKUN,,,their-vision
